,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
208,Superior,46.7208,-92.1041,19.08,63,100,9.22,1644183601
209,Otterup,55.5153,10.3976,34.18,80,100,15.32,1644183868
210,Bethel,41.3712,-73.414,29.71,60,0,3.44,1644183868
211,Avera,33.194,-82.5271,48.74,52,100,6.44,1644183638
212,Villarrica,-25.75,-56.4333,77.36,50,0,4.7,1644183868
213,Chokurdakh,70.6333,147.9167,-40.22,100,86,2.51,1644183869
214,Nuuk,64.1835,-51.7216,5.61,51,75,17.27,1644183869
215,Bāsugaon,26.4667,90.4,54.3,81,0,3.36,1644183869
216,Mbandaka,0.0487,18.2603,75.79,40,20,3.4,1644183870
217,Palu,-0.8917,119.8707,74.64,92,91,3.83,1644183608
218,Rodrigues Alves,-7.738,-72.6509,80.8,93,95,2.48,1644183870
219,Sānchor,24.7553,71.7722,60.01,60,0,6.02,1644183870
220,Escárcega,18.6089,-90.7454,76.05,67,98,4.54,1644183870
221,San Jose,37.3394,-121.895,71.85,38,0,1.01,1644183871
222,Kristiansund,63.1115,7.732,38.05,75,75,19.57,1644183871
223,Rensvik,63.1,7.8167,37.67,75,75,19.57,1644183871
224,Inírida,3.8653,-67.9239,81.59,78,100,2.98,1644183872
225,Fortuna,40.5982,-124.1573,66.42,82,0,9.22,1644183872
226,Dickinson,29.4608,-95.0513,60.22,62,75,1.01,1644183872
227,Novaya Mayna,54.15,49.75,21.24,96,100,5.64,1644183872
228,Fengzhen,40.4394,113.1536,14.09,48,100,4.85,1644183873
229,Rovaniemi,66.5,25.7167,24.21,93,100,16.11,1644183873
230,Gobabis,-22.45,18.9667,68.13,63,39,6.96,1644183873
231,Ilulissat,69.2167,-51.1,1.42,66,100,6.91,1644183874
232,Port Blair,11.6667,92.75,77.04,88,40,1.14,1644183874
233,Valavanur,11.9209,79.5824,70.79,86,100,5.75,1644183874
234,Fort Nelson,58.8053,-122.7002,36.28,90,100,4.7,1644183585
235,Havøysund,70.9963,24.6622,25.68,79,21,16.37,1644183875
236,Windhoek,-22.5594,17.0832,65.1,77,100,9.22,1644183875
237,Agüimes,27.9054,-15.4461,63.66,77,20,17.27,1644183875
238,Pisco,-13.7,-76.2167,69.03,88,39,10.36,1644183875
239,Senovo,46.0236,15.4769,49.35,68,100,3.0,1644183876
240,East London,-33.0153,27.9116,72.82,84,24,15.79,1644183876
241,Ixtapa,20.7,-105.2,75.22,84,43,7.0,1644183876
242,Oranjemund,-28.55,16.4333,68.09,68,63,2.84,1644183877
243,Kushima,31.4583,131.2333,32.04,69,93,6.42,1644183877
244,Sola,-13.8833,167.55,82.92,77,100,17.45,1644183650
245,Ust-Kuyga,70.0167,135.6,-35.9,100,100,4.7,1644183877
246,Ribeira Grande,38.5167,-28.7,63.0,82,40,11.5,1644183878
247,Narsaq,60.9167,-46.05,8.82,83,100,1.61,1644183878
248,Sampit,-2.5333,112.95,73.29,99,100,1.92,1644183879
249,Stornoway,58.2093,-6.3865,38.93,80,75,4.0,1644183879
250,Joshīmath,30.5667,79.5667,40.37,71,52,4.36,1644183939
251,Saucillo,28.0167,-105.2833,65.7,15,0,8.99,1644183939
252,Sioux Lookout,50.1001,-91.917,10.78,67,20,5.75,1644183940
253,Qasigiannguit,68.8193,-51.1922,1.65,99,100,5.57,1644183940
254,Nerchinskiy Zavod,51.3088,119.61,-17.57,100,94,2.64,1644183941
255,Mozarlândia,-14.7447,-50.5706,77.5,84,99,4.12,1644183941
256,Black River,18.0264,-77.8487,82.4,48,3,2.17,1644183942
257,Praia da Vitória,38.7333,-27.0667,60.76,100,75,16.6,1644183942
258,Muros,42.7762,-9.0603,51.1,76,36,8.55,1644183943
259,Port Lincoln,-34.7333,135.8667,73.6,59,0,14.25,1644183943
260,Bauta,22.9828,-82.5464,84.09,51,20,10.36,1644183943
261,Hays,30.0502,-98.0336,59.92,40,0,5.68,1644183371
262,Schongau,47.8167,10.9,44.06,87,100,41.43,1644183944
263,Mount Gambier,-37.8333,140.7667,62.51,67,0,5.75,1644183944
264,Shawville,45.6001,-76.4827,24.76,93,100,10.67,1644183687
265,Harper,4.375,-7.7169,79.77,81,99,10.22,1644183945
266,San Julián,21.0167,-102.1667,74.19,19,14,14.12,1644183945
267,Gardabani,41.4605,45.0928,35.69,77,28,3.89,1644183946
268,Altamira,-3.2033,-52.2064,82.49,78,40,3.44,1644183924
269,Aklavik,68.2191,-135.0107,-19.48,92,100,19.39,1644183946
270,Portobelo,9.55,-79.65,88.61,68,11,8.68,1644183946
271,Emba,48.8264,58.1442,15.66,97,100,9.01,1644183947
272,Havelock,34.8791,-76.9013,51.98,72,100,3.0,1644183947
273,Smirnykh,49.75,142.8333,3.94,89,81,6.2,1644183947
274,Manicoré,-5.8092,-61.3003,77.43,93,96,1.97,1644183947
275,Arraial do Cabo,-22.9661,-42.0278,82.36,69,0,13.8,1644183948
276,Bushehr,28.9684,50.8385,60.89,59,0,18.41,1644183928
277,Horní Planá,48.7674,14.0326,39.11,99,100,19.71,1644183948
278,Havre-St-Pierre,50.2334,-63.5986,6.8,55,0,13.8,1644183949
279,Doctor Juan León Mallorquín,-25.4,-55.2667,87.53,52,0,4.74,1644183949
280,Paramonga,-10.6667,-77.8333,73.26,72,89,9.19,1644183949
281,Kropotkin,45.4375,40.5756,33.84,80,100,10.65,1644183950
282,Kamenolomni,47.6685,40.2051,30.47,92,100,9.44,1644183950
283,Senneterre,48.3835,-77.2328,14.22,93,100,8.88,1644183950
284,Padang,-0.9492,100.3543,76.28,78,100,3.27,1644183951
285,Huarmey,-10.0681,-78.1522,73.58,73,32,8.59,1644183951
286,Arrondissement de Nevers,46.9167,3.3333,48.79,89,100,15.68,1644183951
287,Yeppoon,-23.1333,150.7333,71.38,69,5,13.69,1644183952
288,Trairi,-3.2778,-39.2689,78.6,77,92,8.05,1644183952
289,Fairbanks,64.8378,-147.7164,-1.39,78,100,0.0,1644183953
290,Champerico,14.3,-91.9167,90.14,61,7,10.22,1644183953
291,Kavaratti,10.5669,72.642,77.77,69,20,9.62,1644183655
292,Ostrovnoy,68.0531,39.5131,14.47,86,99,21.0,1644183953
293,Coyhaique,-45.5752,-72.0662,84.81,34,20,8.05,1644183954
294,Puno,-15.8333,-70.0333,46.35,84,100,14.36,1644183954
295,Arrondissement de Bastia,42.6667,9.3333,53.4,88,20,1.99,1644183954
296,Villa María,-32.4075,-63.2402,76.14,24,0,11.86,1644183955
297,Richards Bay,-28.783,32.0377,70.75,93,38,1.54,1644183955
298,Qui Nhon,13.7667,109.2333,70.0,90,94,7.02,1644183956
299,Shimoda,34.6667,138.95,35.1,83,69,4.92,1644183956
300,Mitsamiouli,-11.3847,43.2844,80.89,78,20,0.0,1644184016
301,Lufilufi,-13.8745,-171.5986,87.58,78,100,19.15,1644184017
302,Manaus,-3.1019,-60.025,84.7,78,75,5.75,1644184017
303,Lima,-12.0432,-77.0282,76.39,79,0,6.91,1644183802
304,Lagoa,39.05,-27.9833,59.83,86,46,14.97,1644184018
305,Mogadishu,2.0371,45.3438,76.59,81,83,19.62,1644184018
306,Bose,45.4612,8.0137,41.2,89,60,3.33,1644184018
307,Yar-Sale,66.8333,70.8333,-10.73,100,85,7.85,1644183722
308,Lumbog,7.5581,123.2014,72.59,87,43,2.89,1644184019
309,Misratah,32.3754,15.0925,59.38,76,99,5.19,1644184019
310,Mayo,38.8876,-76.5119,38.43,39,0,1.99,1644184020
311,Santarém,-2.4431,-54.7083,78.93,89,40,4.61,1644184020
312,Bodden Town,19.2833,-81.25,82.4,66,20,8.99,1644184021
313,Otukpo,7.1913,8.1329,78.98,17,12,3.0,1644184021
314,Aripuanã,-9.1667,-60.6333,78.51,90,47,2.17,1644184021
315,Luza,60.6308,47.2512,7.32,99,92,2.91,1644184022
316,Aykhal,66.0,111.5,-11.04,98,100,5.64,1644184022
317,Münster,51.9624,7.6257,42.44,88,75,1.99,1644183900
318,Balkanabat,39.5108,54.3671,38.21,68,14,4.0,1644184022
319,Santa Maria,-29.6842,-53.8069,78.1,36,40,10.36,1644184023
320,Kununurra,-15.7667,128.7333,75.18,100,100,8.05,1644183776
321,Lumphat,13.4878,106.9816,70.56,77,99,5.7,1644184023
322,Gogrial,8.5332,28.1004,71.55,21,24,5.75,1644184024
323,Pontes e Lacerda,-15.2261,-59.3353,75.96,86,88,5.5,1644183745
324,Voh,-20.9667,164.7,82.18,82,100,6.69,1644184024
325,Mangochi,-14.4782,35.2645,68.95,90,12,0.81,1644184025
326,Townsville,-19.25,146.8,77.88,73,75,0.0,1644184025
327,Port Said,31.2565,32.2841,57.18,88,0,3.44,1644184025
328,Posadas,-27.3671,-55.8961,87.78,34,0,17.27,1644183779
329,Pasinler,39.9803,41.6764,14.99,95,52,3.65,1644183987
330,Lexington,37.9887,-84.4777,45.25,52,0,9.22,1644183925
331,Salalah,17.0151,54.0924,78.89,41,0,6.91,1644184026
332,Perth,-31.9333,115.8333,65.08,70,40,13.8,1644184026
333,Marawi,7.9986,124.2928,63.64,93,16,1.54,1644184026
334,Coquimbo,-29.9533,-71.3436,69.53,68,20,11.5,1644184027
335,Salinópolis,-0.6136,-47.3561,78.24,87,100,8.39,1644184027
336,Panji,-7.7253,114.0995,75.69,89,78,3.91,1644184027
337,Hay River,60.8156,-115.7999,22.98,80,75,8.05,1644184005
338,Port Hedland,-20.3167,118.5667,77.05,100,75,13.8,1644184028
339,Codrington,-38.2667,141.9667,67.35,53,0,8.93,1644184028
340,Yenagoa,4.9247,6.2642,78.84,74,0,4.76,1644184028
341,Okha,53.5739,142.9478,1.65,93,100,23.64,1644184029
342,Ahipara,-35.1667,173.1667,75.34,93,99,6.49,1644184029
343,Bloemfontein,-29.1211,26.214,65.68,77,80,6.91,1644184029
344,Bobon,12.5246,124.5636,75.0,90,95,7.45,1644184030
345,Khorramshahr,30.4397,48.1664,55.36,50,0,9.22,1644184030
346,Hulyaypole,47.6653,36.2578,26.35,91,84,8.68,1644184030
347,Luanda,-8.8368,13.2343,77.0,78,20,11.5,1644183654
348,Kahului,20.8947,-156.47,83.46,67,20,18.41,1644184008
349,Ponta Delgada,37.7333,-25.6667,61.5,88,75,11.5,1644184031
350,Sukumo,32.9333,132.7333,34.34,84,70,4.83,1644184091
351,Tasiilaq,65.6145,-37.6368,21.36,59,100,44.74,1644184091
352,Ofakim,31.3141,34.6203,50.74,79,4,6.51,1644184092
353,Bac Giang,21.2667,106.2,57.27,90,100,2.75,1644183900
354,Buchanan,5.8808,-10.0467,76.96,83,16,7.02,1644184092
355,San Miguel de Tucumán,-26.8241,-65.2226,75.2,60,75,3.44,1644184092
356,Flinders,-34.5833,150.8552,67.21,90,94,7.0,1644184093
357,Conakry,9.538,-13.6773,80.67,78,5,6.91,1644184093
358,Woodward,36.4337,-99.3904,54.63,42,0,20.71,1644184093
359,Bathsheba,13.2167,-59.5167,81.21,69,75,18.41,1644184094
360,Beidao,34.5686,105.8933,21.34,90,100,1.99,1644184094
361,Gisborne,-38.6533,178.0042,66.94,96,100,10.85,1644184094
362,Rochester,43.1548,-77.6156,37.04,50,40,1.01,1644183600
363,La Providencia,28.7167,-111.5833,77.61,28,0,11.39,1644184095
364,Bermeo,43.4209,-2.7215,47.34,73,91,9.44,1644184095
365,Mosquera,4.7059,-74.2302,62.69,72,40,9.22,1644184095
366,Lata,40.1629,-8.3327,52.81,64,46,3.96,1644184096
367,Indramayu,-6.3264,108.32,77.74,88,100,13.33,1644184096
368,Vanderhoof,54.0166,-124.0198,38.7,95,99,0.51,1644184096
369,Isla Vista,34.4133,-119.861,82.9,34,0,5.75,1644184097
370,Petra,30.3222,35.4793,41.68,75,0,2.53,1644184097
371,Poum,-20.2333,164.0167,81.3,81,100,11.74,1644183972
372,Pitimbu,-7.4706,-34.8086,81.19,69,6,12.84,1644184097
373,Valdosta,30.8327,-83.2785,44.69,92,100,10.36,1644184098
374,High Rock,26.6208,-78.2833,78.82,75,19,9.42,1644184098
375,Lorengau,-2.0226,147.2712,81.86,80,100,6.46,1644184098
376,Constitución,-35.3333,-72.4167,68.74,59,9,11.21,1644183986
377,Adrar,20.5022,-10.0711,68.58,10,0,9.55,1644183959
378,Ancud,-41.8697,-73.8203,73.22,70,8,7.47,1644184001
379,Chimbote,-9.0853,-78.5783,72.99,73,97,9.26,1644183876
380,Katsuura,35.1333,140.3,35.71,49,40,11.7,1644184099
381,Bull Savanna,17.8868,-77.5902,76.87,54,2,4.27,1644184099
382,Isugod,9.3408,118.1196,76.26,87,93,4.85,1644184100
383,Cidreira,-30.1811,-50.2056,74.14,68,2,15.93,1644184100
384,Kuching,1.55,110.3333,75.42,100,40,3.44,1644184100
385,Kuchurhan,47.163,29.7894,35.11,68,97,10.38,1644184100
386,Vestmannaeyjar,63.4427,-20.2734,35.26,60,100,28.05,1644184101
387,Guerrero Negro,27.9769,-114.0611,68.85,22,0,9.95,1644184101
388,Kot Samaba,28.5522,70.4684,57.34,41,30,10.25,1644184101
389,Viedma,-40.8135,-62.9967,69.55,52,2,15.48,1644184102
390,Prince Rupert,54.3161,-130.3201,48.29,71,40,23.02,1644183938
391,Kavieng,-2.5744,150.7967,82.36,74,61,2.39,1644184102
392,Yaguajay,22.3272,-79.2378,78.04,60,47,17.09,1644184102
393,Ojinaga,29.5667,-104.4167,67.57,23,0,12.66,1644184103
394,Umm Kaddadah,13.6017,26.6876,57.99,22,100,15.7,1644184103
395,Nelson Bay,-32.7167,152.15,72.0,68,72,3.0,1644184103
396,Chapais,49.7834,-74.8492,6.58,94,100,8.59,1644184065
397,Anlu,31.1661,112.5831,31.14,96,100,12.62,1644184104
398,Sorong,-0.8833,131.25,79.43,83,99,10.56,1644184104
399,Beringovskiy,63.05,179.3167,-17.41,97,37,6.55,1644184104
400,Aksu,41.1231,80.2644,20.97,50,100,1.54,1644184165
401,Port-Cartier,50.0334,-66.8654,5.76,92,100,4.97,1644183884
402,Angoche,-16.2325,39.9086,75.22,93,82,8.9,1644184165
403,Vicuña,-30.0319,-70.7081,87.76,34,0,7.45,1644184165
404,Batemans Bay,-35.7167,150.1833,65.19,84,55,10.25,1644184166
405,Gigmoto,13.7796,124.39,77.16,86,95,13.73,1644184166
406,Peniche,39.3558,-9.3811,55.09,73,30,13.06,1644184166
407,Novoagansk,61.9449,76.6625,-7.37,99,11,6.53,1644184167
408,San Luis,-33.295,-66.3356,77.4,17,0,9.57,1644184167
409,Kurumkan,54.3,110.3,-4.05,96,56,3.91,1644184167
410,Taoudenni,22.6783,-3.9836,69.98,12,18,10.63,1644184168
411,Lamar,33.6668,-95.5836,55.63,28,0,3.44,1644184168
412,Kwang Binh,17.4833,106.6,66.31,90,97,3.76,1644184168
413,Finote Selam,10.7,37.2667,59.95,65,6,2.77,1644184168
414,Pāonta Sāhib,30.45,77.6167,53.22,70,55,3.87,1644184169
415,Morondava,-20.2833,44.2833,80.64,84,100,22.64,1644184169
